,hex_4000km,assessed_num,ki_num,when_left_prev_lessonemonth,when_left_prev_moreonemonth,when_left_prev_NC,access_market_NC,access_market_no_access,access_market_yes_always,access_market_yes_restricted,distance_to_market_1_to_halfday,distance_to_market_30_less_1,distance_to_market_halfday,distance_to_market_more_halfday,distance_to_market_NC,distance_to_market_SL,distance_to_market_under_30,access_healthservices_NC,access_healthservices_no,access_healthservices_yes,available_health_services_mobile_clinic_NC,available_health_services_mobile_clinic_no,available_health_services_mobile_clinic_SL,available_health_services_mobile_clinic_yes,available_health_services_hospital_NC,available_health_services_hospital_no,available_health_services_hospital_SL,available_health_services_hospital_yes,available_health_services_clinic_NC,available_health_services_clinic_no,available_health_services_clinic_SL,available_health_services_clinic_yes,conflict_causes_none_NC,conflict_causes_none_no,conflict_causes_none_yes,conflict_causes_water_dispute_NC,conflict_causes_water_dispute_no,conflict_causes_water_dispute_yes,protection_incidents_none_NC,protection_incidents_none_no,protection_incidents_none_yes,surfacewater_drinking_,surfacewater_drinking_NC,surfacewater_drinking_no,surfacewater_drinking_yes,education_available_none_NC,education_available_none_no,education_available_none_yes,info_mainsource_radio_NC,info_mainsource_radio_no,info_mainsource_radio_yes,still_contact_htr_NC,still_contact_htr_no,still_contact_htr_yes,food_situation_improved,food_situation_NC,food_situation_remained_same,food_situation_SL,food_situation_worse,dam_shelters_reason_no_destroyed,dam_shelters_reason_yes_destroyed,mainsource_water_river_pond
23,M-50,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1
24,M-51,2,2,0.5,0.5,0,0,0,1,0,0,0.5,0,0,0,0,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0.5,0.5,0.5,0,0.5,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0.5
25,N-42,2,2,1,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0.5,0.5,0,1,0,0,1,0,0,0,0.5,0.5,0,1,0,0,0,1,0,0,1,0.5,0,0,0.5,0,0.5,0.5,0.5
26,N-44,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
27,N-46,2,3,1,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0.5,0.5,0.5,0.5,0,0,0,1,0,0.5,0,0.5,0,0,1,0,0,0.5,0.5,0,0.5,0.5,0.5
28,N-47,2,4,1,0,0,0,0,1,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0.5,0,0,1,0,1,0,0,0.5,0.5,0.5,0,0,0.5,0,1,0,0,0.5,0.5,0,0.5,0.5,0,0,0,1,0,0.5,0.5,0.5
29,N-48,6,12,0.833333333,0,0.166666667,0,0.333333333,0.333333333,0.333333333,0.333333333,0,0.333333333,0,0,0.333333333,0,0,0.666666667,0.333333333,0,0.166666667,0.666666667,0.166666667,0,0.166666667,0.666666667,0.166666667,0,0.166666667,0.666666667,0.166666667,0.166666667,0.166666667,0.666666667,0,1,0,0.166666667,0.333333333,0.5,0.333333333,0.166666667,0.166666667,0.333333333,0,1,0,0,0.333333333,0.666666667,0,0,1,0,0,0,1,0,0.833333333,0.166666667,0.166666667
30,N-50,2,6,1,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
31,N-51,1,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1
32,O-44,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
